Date,Close/Last,Volume,Open,High,Low
01/28/2021,$47.8003,3408283,$48.5152,$48.8297,$47.7003
01/27/2021,$48.0577,3184057,$48.3627,$49.0966,$47.686
01/26/2021,$49.2301,2005099,$49.7162,$50.2499,$49.1919
01/25/2021,$49.4016,3463514,$49.5637,$50.4882,$48.2864
01/22/2021,$49.211,1574349,$48.8869,$49.516,$48.2674
01/21/2021,$49.2396,2961159,$48.153,$49.7352,$48.0672
01/20/2021,$48.601,3334904,$48.4485,$48.7058,$47.9624
01/19/2021,$48.0196,3012395,$48.458,$48.8202,$48.0005
01/15/2021,$47.8957,3529833,$47.2856,$48.153,$46.5898
01/14/2021,$47.6383,2417067,$48.439,$48.5772,$47.5906
01/13/2021,$48.4199,3142515,$49.1538,$49.4636,$47.9481
01/12/2021,$50.1641,2190812,$49.7066,$50.4501,$49.3605
